year,sex,industry1,industry2,employment_status,employed
2010,Female,Services,Public Administration And Education,Employees,113000
2010,Female,Services,Public Administration And Education,Own Account Workers,9400
2010,Female,Services,Public Administration And Education,Contributing Family Workers,100
2010,Female,Services,Health And Social Services,Employers,1300
2010,Female,Services,Health And Social Services,Employees,59600
2010,Female,Services,Health And Social Services,Own Account Workers,1400
2010,Female,Services,Health And Social Services,Contributing Family Workers,0
2010,Female,Services,"Arts, Entertainment And Recreation",Employers,200
2010,Female,Services,"Arts, Entertainment And Recreation",Employees,14700
2010,Female,Services,"Arts, Entertainment And Recreation",Own Account Workers,800
2010,Female,Services,"Arts, Entertainment And Recreation",Contributing Family Workers,100
2010,Female,Services,"Other Community, Social And Personal Services",Employers,2900
2010,Female,Services,"Other Community, Social And Personal Services",Employees,26200
2010,Female,Services,"Other Community, Social And Personal Services",Own Account Workers,7600
2010,Female,Services,"Other Community, Social And Personal Services",Contributing Family Workers,400
2010,Female,Others,Others,Employers,100
2010,Female,Others,Others,Employees,9000
2010,Female,Others,Others,Own Account Workers,200
2010,Female,Others,Others,Contributing Family Workers,100
2011,Male,Manufacturing,Manufacturing,Employers,10300
2011,Male,Manufacturing,Manufacturing,Employees,177400
2011,Male,Manufacturing,Manufacturing,Own Account Workers,2900
2011,Male,Manufacturing,Manufacturing,Contributing Family Workers,500
2011,Male,Construction,Construction,Employers,11100
2011,Male,Construction,Construction,Employees,59100
2011,Male,Construction,Construction,Own Account Workers,7000
2011,Male,Construction,Construction,Contributing Family Workers,200
2011,Male,Services,Wholesale And Retail Trade,Employers,22100
2011,Male,Services,Wholesale And Retail Trade,Employees,111000
2011,Male,Services,Wholesale And Retail Trade,Own Account Workers,17000
2011,Male,Services,Wholesale And Retail Trade,Contributing Family Workers,2100
2011,Male,Services,Transportation And Storage,Employers,3600
2011,Male,Services,Transportation And Storage,Employees,94600
2011,Male,Services,Transportation And Storage,Own Account Workers,47300
2011,Male,Services,Transportation And Storage,Contributing Family Workers,200
2011,Male,Services,Accommodation And Food Services,Employers,6600
2011,Male,Services,Accommodation And Food Services,Employees,47400
2011,Male,Services,Accommodation And Food Services,Own Account Workers,6100
2011,Male,Services,Accommodation And Food Services,Contributing Family Workers,1000
2011,Male,Services,Information And Communications,Employers,2700
2011,Male,Services,Information And Communications,Employees,46900
2011,Male,Services,Information And Communications,Own Account Workers,2400
2011,Male,Services,Information And Communications,Contributing Family Workers,0
2011,Male,Services,Financial And Insurance Services,Employers,2600
2011,Male,Services,Financial And Insurance Services,Employees,53200
2011,Male,Services,Financial And Insurance Services,Own Account Workers,10400
2011,Male,Services,Financial And Insurance Services,Contributing Family Workers,0
2011,Male,Services,Real Estate Services,Employers,800
2011,Male,Services,Real Estate Services,Employees,14500
2011,Male,Services,Real Estate Services,Own Account Workers,9700
2011,Male,Services,Real Estate Services,Contributing Family Workers,100
2011,Male,Services,Professional Services,Employers,8400
2011,Male,Services,Professional Services,Employees,50100
2011,Male,Services,Professional Services,Own Account Workers,5600
2011,Male,Services,Professional Services,Contributing Family Workers,100
2011,Male,Services,Administrative And Support Services,Employers,3900
2011,Male,Services,Administrative And Support Services,Employees,48000
2011,Male,Services,Administrative And Support Services,Own Account Workers,2300
2011,Male,Services,Administrative And Support Services,Contributing Family Workers,0
2011,Male,Services,Public Administration And Education,Employers,1300
2011,Male,Services,Public Administration And Education,Employees,138600
2011,Male,Services,Public Administration And Education,Own Account Workers,5400
2011,Male,Services,Public Administration And Education,Contributing Family Workers,0
2011,Male,Services,Health And Social Services,Employers,1800
2011,Male,Services,Health And Social Services,Employees,17400
2011,Male,Services,Health And Social Services,Own Account Workers,400
2011,Male,Services,Health And Social Services,Contributing Family Workers,100
2011,Male,Services,"Arts, Entertainment And Recreation",Employers,500
2011,Male,Services,"Arts, Entertainment And Recreation",Employees,16000
2011,Male,Services,"Arts, Entertainment And Recreation",Own Account Workers,1600
2011,Male,Services,"Arts, Entertainment And Recreation",Contributing Family Workers,100
2011,Male,Services,"Other Community, Social And Personal Services",Employers,2700
2011,Male,Services,"Other Community, Social And Personal Services",Employees,20400
2011,Male,Services,"Other Community, Social And Personal Services",Own Account Workers,5500
2011,Male,Services,"Other Community, Social And Personal Services",Contributing Family Workers,300
2011,Male,Others,Others,Employers,700
2011,Male,Others,Others,Employees,16100
2011,Male,Others,Others,Own Account Workers,900
2011,Male,Others,Others,Contributing Family Workers,0
2011,Female,Manufacturing,Manufacturing,Employers,2900
2011,Female,Manufacturing,Manufacturing,Employees,96400
2011,Female,Manufacturing,Manufacturing,Own Account Workers,1200
2011,Female,Manufacturing,Manufacturing,Contributing Family Workers,700
2011,Female,Construction,Construction,Employers,1600
2011,Female,Construction,Construction,Employees,19800
2011,Female,Construction,Construction,Own Account Workers,400
2011,Female,Construction,Construction,Contributing Family Workers,300
2011,Female,Services,Wholesale And Retail Trade,Employers,8100
2011,Female,Services,Wholesale And Retail Trade,Employees,127700
2011,Female,Services,Wholesale And Retail Trade,Own Account Workers,7800
2011,Female,Services,Wholesale And Retail Trade,Contributing Family Workers,4600
2011,Female,Services,Transportation And Storage,Employers,700
2011,Female,Services,Transportation And Storage,Employees,44600
2011,Female,Services,Transportation And Storage,Own Account Workers,900
2011,Female,Services,Transportation And Storage,Contributing Family Workers,100
2011,Female,Services,Accommodation And Food Services,Employers,3300
2011,Female,Services,Accommodation And Food Services,Employees,63200
2011,Female,Services,Accommodation And Food Services,Own Account Workers,4300
2011,Female,Services,Accommodation And Food Services,Contributing Family Workers,3400
2011,Female,Services,Information And Communications,Employers,1000
2011,Female,Services,Information And Communications,Employees,32200
2011,Female,Services,Information And Communications,Own Account Workers,800
2011,Female,Services,Information And Communications,Contributing Family Workers,0
2011,Female,Services,Financial And Insurance Services,Employers,600
2011,Female,Services,Financial And Insurance Services,Employees,72100
2011,Female,Services,Financial And Insurance Services,Own Account Workers,6600
2011,Female,Services,Financial And Insurance Services,Contributing Family Workers,0
2011,Female,Services,Real Estate Services,Employers,600
2011,Female,Services,Real Estate Services,Employees,14900
2011,Female,Services,Real Estate Services,Own Account Workers,8200
2011,Female,Services,Real Estate Services,Contributing Family Workers,0
2011,Female,Services,Professional Services,Employers,3100
2011,Female,Services,Professional Services,Employees,54700
2011,Female,Services,Professional Services,Own Account Workers,2500
2011,Female,Services,Professional Services,Contributing Family Workers,300
2011,Female,Services,Administrative And Support Services,Employers,1700
2011,Female,Services,Administrative And Support Services,Employees,40000
2011,Female,Services,Administrative And Support Services,Own Account Workers,1300
2011,Female,Services,Administrative And Support Services,Contributing Family Workers,100
2011,Female,Services,Public Administration And Education,Employers,1200
