year,sex,industry1,industry2,employment_status,employed
2019,female,construction,construction,contributing family workers,200
2019,female,services,wholesale and retail trade,employers,7300
2019,female,services,wholesale and retail trade,employees,157300
2019,female,services,wholesale and retail trade,own account workers,7500
2019,female,services,wholesale and retail trade,contributing family workers,2100
2019,female,services,transportation and storage,employers,700
2019,female,services,transportation and storage,employees,46100
2019,female,services,transportation and storage,own account workers,2700
2019,female,services,transportation and storage,contributing family workers,100
2019,female,services,accommodation and food services,employers,3100
2019,female,services,accommodation and food services,employees,64700
2019,female,services,accommodation and food services,own account workers,4000
2019,female,services,accommodation and food services,contributing family workers,1900
2019,female,services,information and communications,employers,1000
2019,female,services,information and communications,employees,39800
2019,female,services,information and communications,own account workers,1700
2019,female,services,information and communications,contributing family workers,100
2019,female,services,financial and insurance services,employers,600
2019,female,services,financial and insurance services,employees,96200
2019,female,services,financial and insurance services,own account workers,8600
2019,female,services,financial and insurance services,contributing family workers,100
2019,female,services,real estate services,employers,300
2019,female,services,real estate services,employees,17400
2019,female,services,real estate services,own account workers,6900
2019,female,services,real estate services,contributing family workers,200
2019,female,services,professional services,employers,3700
2019,female,services,professional services,employees,78500
2019,female,services,professional services,own account workers,5500
2019,female,services,professional services,contributing family workers,300
2019,female,services,administrative and support services,employers,1600
2019,female,services,administrative and support services,employees,48700
2019,female,services,administrative and support services,own account workers,2900
2019,female,services,administrative and support services,contributing family workers,100
2019,female,services,public administration and education,employers,1800
2019,female,services,public administration and education,employees,130600
2019,female,services,public administration and education,own account workers,11300
2019,female,services,public administration and education,contributing family workers,200
2019,female,services,health and social services,employers,1300
2019,female,services,health and social services,employees,102100
2019,female,services,health and social services,own account workers,1700
2019,female,services,health and social services,contributing family workers,0
2019,female,services,"arts, entertainment and recreation",employers,300
2019,female,services,"arts, entertainment and recreation",employees,17000
2019,female,services,"arts, entertainment and recreation",own account workers,1100
2019,female,services,"arts, entertainment and recreation",contributing family workers,100
2019,female,services,"other community, social and personal services",employers,2000
2019,female,services,"other community, social and personal services",employees,31000
2019,female,services,"other community, social and personal services",own account workers,3300
2019,female,services,"other community, social and personal services",contributing family workers,300
2019,female,others,others,employers,100
2019,female,others,others,employees,7700
2019,female,others,others,own account workers,200
2019,female,others,others,contributing family workers,0
2020,male,manufacturing,manufacturing,employers,6900
2020,male,manufacturing,manufacturing,employees,124700
2020,male,manufacturing,manufacturing,own account workers,3000
2020,male,manufacturing,manufacturing,contributing family workers,500
2020,male,construction,construction,employers,10400
2020,male,construction,construction,employees,52300
2020,male,construction,construction,own account workers,5900
2020,male,construction,construction,contributing family workers,300
2020,male,services,wholesale and retail trade,employers,16100
2020,male,services,wholesale and retail trade,employees,136600
2020,male,services,wholesale and retail trade,own account workers,13500
2020,male,services,wholesale and retail trade,contributing family workers,1300
2020,male,services,transportation and storage,employers,2800
2020,male,services,transportation and storage,employees,88400
2020,male,services,transportation and storage,own account workers,71000
2020,male,services,transportation and storage,contributing family workers,100
2020,male,services,accommodation and food services,employers,6000
2020,male,services,accommodation and food services,employees,43800
2020,male,services,accommodation and food services,own account workers,4100
2020,male,services,accommodation and food services,contributing family workers,1900
2020,male,services,information and communications,employers,3600
2020,male,services,information and communications,employees,56800
2020,male,services,information and communications,own account workers,6000
2020,male,services,information and communications,contributing family workers,0
2020,male,services,financial and insurance services,employers,3100
2020,male,services,financial and insurance services,employees,85900
2020,male,services,financial and insurance services,own account workers,11100
2020,male,services,financial and insurance services,contributing family workers,0
2020,male,services,real estate services,employers,300
2020,male,services,real estate services,employees,15900
2020,male,services,real estate services,own account workers,7700
2020,male,services,real estate services,contributing family workers,0
2020,male,services,professional services,employers,7000
2020,male,services,professional services,employees,79100
2020,male,services,professional services,own account workers,10500
2020,male,services,professional services,contributing family workers,0
2020,male,services,administrative and support services,employers,3900
2020,male,services,administrative and support services,employees,68600
2020,male,services,administrative and support services,own account workers,2500
2020,male,services,administrative and support services,contributing family workers,300
2020,male,services,public administration and education,employers,1200
2020,male,services,public administration and education,employees,147600
2020,male,services,public administration and education,own account workers,7000
2020,male,services,public administration and education,contributing family workers,100
2020,male,services,health and social services,employers,2500
2020,male,services,health and social services,employees,27700
2020,male,services,health and social services,own account workers,1300
2020,male,services,health and social services,contributing family workers,300
2020,male,services,"arts, entertainment and recreation",employers,500
2020,male,services,"arts, entertainment and recreation",employees,15000
2020,male,services,"arts, entertainment and recreation",own account workers,1600
2020,male,services,"arts, entertainment and recreation",contributing family workers,100
2020,male,services,"other community, social and personal services",employers,3600
2020,male,services,"other community, social and personal services",employees,18400
2020,male,services,"other community, social and personal services",own account workers,3700
2020,male,services,"other community, social and personal services",contributing family workers,100
2020,male,others,others,employers,500
2020,male,others,others,employees,14700
2020,male,others,others,own account workers,300
2020,male,others,others,contributing family workers,100
2020,female,manufacturing,manufacturing,employers,1500
2020,female,manufacturing,manufacturing,employees,74900
2020,female,manufacturing,manufacturing,own account workers,1100
2020,female,manufacturing,manufacturing,contributing family workers,300
2020,female,construction,construction,employers,1900
2020,female,construction,construction,employees,25100
2020,female,construction,construction,own account workers,800
2020,female,construction,construction,contributing family workers,500
2020,female,services,wholesale and retail trade,employers,7100
2020,female,services,wholesale and retail trade,employees,149900
2020,female,services,wholesale and retail trade,own account workers,7900
2020,female,services,wholesale and retail trade,contributing family workers,2600
2020,female,services,transportation and storage,employers,1000
2020,female,services,transportation and storage,employees,46900
2020,female,services,transportation and storage,own account workers,4400
2020,female,services,transportation and storage,contributing family workers,400
2020,female,services,accommodation and food services,employers,4400
2020,female,services,accommodation and food services,employees,61000
2020,female,services,accommodation and food services,own account workers,4500
2020,female,services,accommodation and food services,contributing family workers,3100
2020,female,services,information and communications,employers,800
2020,female,services,information and communications,employees,41600
2020,female,services,information and communications,own account workers,2600
2020,female,services,information and communications,contributing family workers,100
2020,female,services,financial and insurance services,employers,1000
2020,female,services,financial and insurance services,employees,97400
2020,female,services,financial and insurance services,own account workers,9200
2020,female,services,financial and insurance services,contributing family workers,200
2020,female,services,real estate services,employers,100
2020,female,services,real estate services,employees,17700
2020,female,services,real estate services,own account workers,8000
2020,female,services,real estate services,contributing family workers,100
2020,female,services,professional services,employers,3100
2020,female,services,professional services,employees,75400
