employment_rate_overall,employment_rate_ft_perm,basic_monthly_mean,basic_monthly_median,gross_monthly_mean,gross_monthly_median,gross_mthly_25_percentile,gross_mthly_75_percentile,Key
87.5,83.3,3251.0,3200.0,3267.0,3200.0,2800.0,3781.0,84
100.0,100.0,5023.0,4800.0,5246.0,5000.0,4500.0,6000.0,85
100.0,100.0,5329.0,5000.0,5617.0,5547.0,4750.0,6400.0,86
98.2,95.6,3539.0,3300.0,3597.0,3300.0,2900.0,4000.0,87
96.6,96.1,2981.0,2800.0,3003.0,2840.0,2700.0,3000.0,88
89.6,80.2,3231.0,3000.0,3318.0,3100.0,2800.0,3600.0,89
92.9,89.3,3398.0,3400.0,3431.0,3450.0,3232.0,4000.0,90
79.8,69.7,2998.0,3000.0,3188.0,3000.0,2825.0,3400.0,91
83.8,76.1,3296.0,3250.0,3415.0,3400.0,3200.0,3575.0,92
91.4,88.8,3423.0,3300.0,3512.0,3400.0,3200.0,3800.0,93
93.8,92.9,3122.0,3000.0,3152.0,3100.0,3000.0,3300.0,94
94.5,93.7,3269.0,3200.0,3304.0,3200.0,3000.0,3700.0,95
90.7,88.4,3241.0,3175.0,3336.0,3200.0,3000.0,3500.0,96
88.9,82.2,3121.0,3000.0,3111.0,3000.0,3000.0,3500.0,97
85.7,73.2,3185.0,3000.0,3318.0,3200.0,3000.0,3600.0,98
82.5,77.7,3145.0,3000.0,3261.0,3150.0,3000.0,3410.0,99
90.2,87.8,3161.0,3000.0,3289.0,3100.0,3000.0,3500.0,100
92.5,92.5,3163.0,3050.0,3206.0,3050.0,3000.0,3500.0,101
80.0,68.0,2761.0,2600.0,2791.0,2700.0,2300.0,3000.0,102
86.8,75.8,2927.0,3000.0,3006.0,3000.0,2700.0,3300.0,103
86.7,77.9,2891.0,2800.0,2976.0,3000.0,2600.0,3294.0,104
88.7,78.4,3183.0,3075.0,3222.0,3200.0,3000.0,3500.0,105
87.0,63.0,3137.0,3000.0,3432.0,3100.0,2800.0,3990.0,106
85.7,66.7,3066.0,3000.0,3148.0,3230.0,2800.0,3500.0,107
66.7,54.9,3197.0,3100.0,3228.0,3100.0,2800.0,3500.0,108
73.2,67.9,3002.0,3000.0,3143.0,3100.0,2800.0,3260.0,109
,,,,,,,,110
100.0,100.0,2974.0,2900.0,3018.0,2900.0,2786.0,3400.0,111
75.1,60.8,3083.0,3000.0,3174.0,3000.0,2800.0,3400.0,112
80.5,68.3,3006.0,3000.0,3321.0,3100.0,2800.0,3400.0,113
88.4,87.0,3155.0,3200.0,3142.0,3200.0,2800.0,3500.0,114
91.3,79.7,3022.0,3000.0,3078.0,3200.0,2800.0,3300.0,115
73.7,63.2,3034.0,3000.0,3241.0,3100.0,2800.0,3560.0,116
87.9,69.7,3076.0,2800.0,3229.0,3000.0,2700.0,3590.0,117
100.0,100.0,3358.0,3400.0,3475.0,3475.0,3400.0,3750.0,118
100.0,100.0,3388.0,3400.0,3536.0,3475.0,3400.0,3700.0,119
81.9,65.3,2719.0,2750.0,2883.0,2800.0,2500.0,3010.0,120
83.1,76.6,3141.0,3210.0,3277.0,3300.0,3000.0,3600.0,121
88.7,80.1,3192.0,3200.0,3304.0,3250.0,3000.0,3600.0,122
87.9,83.6,3234.0,3000.0,3367.0,3000.0,2800.0,3300.0,123
94.4,90.6,3979.0,3500.0,4090.0,3520.0,3200.0,4300.0,124
93.9,89.8,2836.0,2800.0,2989.0,2838.0,2700.0,3000.0,125
100.0,96.3,3350.0,2850.0,3407.0,2912.0,2800.0,3614.0,126
82.1,82.1,3107.0,3000.0,3129.0,3088.0,2900.0,3300.0,127
,,,,,,,,128
,,,,,,,,129
90.6,85.9,3729.0,3500.0,3712.0,3500.0,3300.0,4000.0,130
85.7,85.7,3183.0,3000.0,3386.0,3200.0,3000.0,3500.0,131
95.5,92.0,3684.0,3352.0,3789.0,3500.0,3100.0,4039.0,132
100.0,100.0,4054.0,4000.0,4054.0,4000.0,4000.0,4020.0,133
98.4,95.2,4290.0,4200.0,4400.0,4275.0,4000.0,4750.0,134
77.3,59.1,2600.0,2550.0,2603.0,2565.0,2200.0,3000.0,135
95.3,94.1,3089.0,3000.0,3181.0,3000.0,2900.0,3360.0,136
93.1,89.2,2931.0,2950.0,3108.0,3000.0,2750.0,3300.0,137
87.5,77.1,2966.0,3000.0,3058.0,3000.0,2700.0,3300.0,138
83.9,76.4,3277.0,3200.0,3434.0,3300.0,3000.0,3650.0,139
97.1,97.1,3212.0,3200.0,3281.0,3208.0,3000.0,3500.0,140
95.2,92.4,3674.0,3500.0,3762.0,3500.0,3200.0,4080.0,141
90.6,88.1,3306.0,3200.0,3571.0,3300.0,3000.0,3800.0,142
81.3,62.5,3375.0,3300.0,3465.0,3400.0,3275.0,3790.0,143
95.2,92.9,3250.0,3200.0,3215.0,3230.0,3000.0,3422.0,144
96.5,96.5,3591.0,3350.0,3719.0,3600.0,3200.0,4000.0,145
78.6,73.8,3054.0,3100.0,3350.0,3300.0,3000.0,3600.0,146
90.0,88.5,3160.0,3100.0,3323.0,3200.0,3000.0,3500.0,147
