year,university,school,degree,Key,employment_rate_overall,employment_rate_ft_perm,basic_monthly_mean,basic_monthly_median,gross_monthly_mean,gross_monthly_median,gross_mthly_25_percentile,gross_mthly_75_percentile
2014,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Environmental Engineering),144,95.2,92.9,3250.0,3200.0,3215.0,3230.0,3000.0,3422.0
2014,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Industrial and Systems Engineering),145,96.5,96.5,3591.0,3350.0,3719.0,3600.0,3200.0,4000.0
2014,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Materials Science and Engineering),146,78.6,73.8,3054.0,3100.0,3350.0,3300.0,3000.0,3600.0
2014,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Mechanical Engineering),147,90.0,88.5,3160.0,3100.0,3323.0,3200.0,3000.0,3500.0
2014,National University of Singapore,Faculty of Law,Bachelor of Laws (LLB) (Hons) #,148,98.2,97.6,5027.0,5000.0,5247.0,5150.0,4800.0,5800.0
2014,National University of Singapore,YLL School of Medicine,Bachelor of Medicine and Bachelor of Surgery #,149,100.0,100.0,4404.0,4500.0,4886.0,5000.0,4500.0,5200.0
2014,National University of Singapore,YLL School of Medicine,Bachelor of Science (Nursing),150,100.0,95.6,2976.0,3000.0,3188.0,3200.0,3050.0,3386.0
2014,National University of Singapore,YLL School of Medicine,Bachelor of Science (Nursing) (Hons),151,100.0,100.0,3123.0,3270.0,3353.0,3500.0,3270.0,3600.0
2014,National University of Singapore,Yong Siew Toh Conservatory of Music,Bachelor of Music **,152,,,,,,,,
2014,National University of Singapore,Faculty of Science,Bachelor of Applied Science **,153,,,,,,,,
2014,National University of Singapore,Faculty of Science,Bachelor of Applied Science (Hons),154,95.5,81.8,2760.0,2750.0,2831.0,2800.0,2600.0,3000.0
2014,National University of Singapore,Faculty of Science,Bachelor of Science,155,76.8,61.4,2804.0,2800.0,2973.0,3000.0,2700.0,3200.0
2014,National University of Singapore,Faculty of Science,Bachelor of Science (Hons),156,86.6,75.8,3224.0,3200.0,3328.0,3210.0,2950.0,3600.0
2014,National University of Singapore,Faculty of Science,Bachelor of Science (Computational Biology) **,157,,,,,,,,
2014,National University of Singapore,Faculty of Science,Bachelor of Science (Pharmacy) (Hons) #,158,98.9,96.7,3467.0,3500.0,3670.0,3630.0,3470.0,4000.0
2014,Singapore Management University,School of Accountancy (4-year programme) *,Accountancy (4-year programme),159,93.6,91.4,3375.0,2850.0,3420.0,2875.0,2722.0,3614.0
2014,Singapore Management University,School of Accountancy (4-year programme) *,Accountancy (4-year programme) Cum Laude and above,160,97.4,96.1,3871.0,3450.0,3903.0,3500.0,2875.0,4300.0
2014,Singapore Management University,School of Business (4-year programme) *,Business Management (4-year programme),161,90.9,86.4,3630.0,3250.0,3752.0,3333.0,3000.0,4000.0
2014,Singapore Management University,School of Business (4-year programme) *,Business Management (4-year programme) Cum Laude and above,162,94.5,94.0,4019.0,3500.0,4116.0,3600.0,3200.0,4500.0
2014,Singapore Management University,School of Economics (4-year programme) *,Economics (4-year programme),163,90.2,83.9,3525.0,3500.0,3645.0,3500.0,3175.0,4000.0
2014,Singapore Management University,School of Economics (4-year programme) *,Economics (4-year programme) Cum Laude and above,164,90.6,89.1,3815.0,3800.0,3824.0,3800.0,3300.0,4350.0
2014,Singapore Management University,School of Information Systems (4-year programme) *,Information Systems Management (4-year programme),165,92.9,80.6,3431.0,3225.0,3530.0,3350.0,3000.0,4000.0
2014,Singapore Management University,School of Information Systems (4-year programme) *,Information Systems Management (4-year programme) Cum Laude and above,166,97.4,84.2,4057.0,4000.0,4151.0,4050.0,3500.0,4540.0
2014,Singapore Management University,School of Social Sciences (4-year programme) *,Social Sciences (4-year programme),167,90.9,84.1,2981.0,3000.0,3166.0,3000.0,2800.0,3580.0
2014,Singapore Management University,School of Social Sciences (4-year programme) *,Social Sciences (4-year programme) Cum Laude and above,168,87.5,81.3,3331.0,3215.0,3545.0,3590.0,3000.0,3955.0
2014,Singapore Management University,School of Law (4-year programme) *,Law (4-year programme) #,169,97.8,95.6,4932.0,4800.0,5332.0,5025.0,4600.0,5950.0
2014,Singapore Management University,School of Law (4-year programme) *,Law (4-year programme) Cum Laude and above #,170,97.7,97.7,5089.0,4900.0,5571.0,5800.0,4800.0,6000.0
2014,Singapore Institute of Technology,DigiPen Institute of Technology,Bachelor of Arts in Game Design,171,100.0,86.7,2490.0,2700.0,2490.0,2700.0,2575.0,2800.0
2014,Singapore Institute of Technology,DigiPen Institute of Technology,Bachelor of Fine Arts in Digital Arts & Animation,172,90.6,84.4,2586.0,2600.0,2603.0,2600.0,2300.0,2885.0
2014,Singapore Institute of Technology,DigiPen Institute of Technology,Bachelor of Science in Computer Science & Game Design,173,100.0,100.0,2932.0,2875.0,2955.0,2975.0,2800.0,3075.0
2014,Singapore Institute of Technology,DigiPen Institute of Technology,Bachelor of Science in Computer Science in Real-Time Interactive Simulation,174,100.0,100.0,2859.0,3000.0,2910.0,3000.0,2700.0,3300.0
2014,Singapore Institute of Technology,The Glasgow School of Art,Bachelor of Arts with Honours in Communication Design,175,89.1,78.3,2547.0,2500.0,2595.0,2500.0,2400.0,2800.0
2014,Singapore Institute of Technology,The Glasgow School of Art,Bachelor of Arts with Honours in Interior Design,176,93.9,90.9,2553.0,2500.0,2583.0,2500.0,2373.0,2800.0
2014,Singapore Institute of Technology,Newcastle University,Bachelor of Engineering with Honours in Chemical Engineering,177,90.1,84.5,3041.0,3000.0,3325.0,3300.0,3000.0,3650.0
